,Video,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
77, -AdgTbVXQbk,2020-05-27,121.0,31.0052,3.0,1475,1.36
78,NDDLup4NgIA,2017-11-01,121.0,19.9775,1.0,2894,1.24
79,VCyIVWJygI4,2014-12-10,121.0,2.7728,1.0,1782,3.37
80,N8Pc8FyKfVM,2020-07-21,120.0,17.7132,3.0,1737,1.27
81,S0xgXS4a4uI,2020-08-27,119.0,27.5997,4.0,1353,1.85
82,CCl8biQEHSo,2018-10-15,117.0,3.8542,0.0,899,2.11
83,jyF4xHtG_K0,2020-06-03,117.0,19.4394,8.0,256,5.86
84,tm-zqCMYGPo,2014-01-13,116.0,2.9082,0.0,2604,1.88
85,S3_sq7jMDic,2019-10-22,115.0,6.6792,1.0,2889,1.0
86,JLcX5nKrHdw,2016-03-09,113.0,12.3373,0.0,1213,1.73
87,ep81j6lrtow,2015-02-21,112.0,2.4238,0.0,1413,2.19
88,-7d9JvljA5k,2017-05-05,110.0,3.1198,0.0,3234,1.33
89, -IngIy99KMo,2015-05-05,109.0,12.1893,2.0,1747,1.49
90,svLflyS1H5Y,2015-06-03,109.0,2.0671,0.0,1760,3.01
91,X8ImshJZAs4,2015-12-19,107.0,1.0091,0.0,1878,0.37
92,qZPpF4CIHkM,2015-12-07,107.0,11.1609,0.0,3857,0.99
93,aja10Wlvafs,2018-04-16,104.0,12.789000000000001,2.0,1728,1.33
94,zSCNdnypA2U,2016-04-21,104.0,4.3601,0.0,970,1.03
95,jELZy2xl9dI,2017-12-01,101.0,9.6268,1.0,1325,1.66
96,BNfmjmGFa2M,2019-06-17,100.0,13.4924,1.0,1814,3.31
97, -Hiyx7HRCKw,2018-06-25,97.0,13.720999999999998,1.0,880,3.41
98,Uh7I-37tQMQ,2019-05-23,97.0,8.0053,1.0,1255,2.95
99,GRjVC0cZx5Q,2020-01-10,95.0,8.0824,0.0,1454,2.48
100,dG5ZuXZ4CRE,2017-12-27,92.0,2.9945,0.0,1004,5.08
101,UVoTXwVD8ec,2018-12-08,91.0,6.7764,0.0,1392,1.72
102,AcVkbMeXRT0,2019-01-07,87.0,2.762,0.0,1050,2.57
103,zirDb0caM-g,2014-12-11,86.0,4.9256,0.0,1319,2.65
104,koFdD2GCBgc,2019-06-17,82.0,7.162999999999999,1.0,1258,0.87
105,yS0Uuox1FzM,2015-10-02,81.0,11.513,1.0,1118,1.88
106,XopRqdd-7BE,2014-11-19,78.0,1.0376,0.0,708,0.99
107,_OqaoulZG0Q,2018-10-27,77.0,3.0549,0.0,797,3.39
108,kvpQoLmXwyc,2012-04-30,77.0,6.9985,0.0,770,2.47
109,UnCSWLE7Cmg,2018-04-14,76.0,4.6509,1.0,1082,1.48
110,KoGLipprvEo,2017-12-07,74.0,1.3807,0.0,664,1.51
111,Y-WPTlI1QdQ,2011-12-05,74.0,1.7976,0.0,2374,1.18
112,5PBWi0hYSo8,2019-02-14,73.0,2.3073,0.0,796,2.64
113,fgFm0rv5pFE,2020-06-17,72.0,6.6846,2.0,3363,1.04
114,vejzqy8CNc8,2019-02-12,69.0,5.5520000000000005,0.0,1047,3.06
115,MmH9cveACvY,2016-03-10,68.0,4.0667,0.0,590,2.54
116,joDR_Vp5Flg,2014-11-19,68.0,1.3495,0.0,1000,0.4
117,rAACBWm0c5A,2019-10-24,66.0,6.2303,0.0,654,1.38
118,RSqfHO4BKv0,2019-06-17,65.0,8.336,0.0,1197,2.51
119,ByR7n5P7jX4,2018-10-15,63.0,1.4361,0.0,845,2.13
120,YsUgHpIlLe4,2013-11-07,63.0,7.6475,0.0,1191,1.43
121,qFnIGgGaA3I,2014-04-14,62.0,4.6102,0.0,1883,0.69
122,tHeRyZ1Vlg0,2014-03-29,62.0,1.9951,0.0,668,2.1
123,9JdfT6LRte4,2017-12-09,61.0,1.6536,0.0,1218,1.64
124,PcQ68vTPXb4,2014-11-26,61.0,1.1246,1.0,1031,2.04
125,fqy1M47Pqeg,2020-05-08,61.0,4.2903,2.0,2050,1.37
126,_O4-KkucxQc,2018-03-16,60.0,1.3329,0.0,1211,0.74
127,atEFHtvK3Ms,2014-11-19,60.0,0.8889,0.0,683,1.17
128,E7GHdUTI-QY,1970-01-01,58.0,4.1032,0.0,21,0.0
129,rbTbWKGHQ5g,2018-10-21,56.0,2.6784,1.0,637,2.35
130,1uz_KAtg0rE,2012-09-10,55.0,12.5182,0.0,1485,1.95
131,2WJca5QFhHg,2019-02-08,55.0,0.258,0.0,413,2.42
132,7dt9NJyGAVc,2019-03-03,55.0,6.1974,0.0,1368,1.61
133,TMoCSOEP1mQ,2018-08-24,55.0,1.4122,1.0,801,2.25
134,X8WyYNXgTp8,2016-12-14,55.0,13.9086,0.0,684,2.05
135,6BIQo9pOx2M,2019-05-08,54.0,0.7751,0.0,448,2.46
136,vW3KL97bGUw,2019-05-01,54.0,1.6162,1.0,686,1.46
137,xCR_jC6kEzw,2014-11-11,54.0,1.0867,0.0,1272,0.79
138,uJ7Pcd5_3vA,2011-12-09,53.0,2.0595,0.0,814,2.09
139,K_8PbTtF9e4,2018-03-31,51.0,2.8317,0.0,825,1.45
140,1dkjVjmKoHA,2020-09-04,50.0,0.1702,4.0,703,4.55
141,TLZrkZDnwPM,2018-10-12,50.0,2.6510000000000002,0.0,937,1.92
142,HiMC5z0WrU8,2018-10-15,49.0,1.3998,0.0,1224,2.37
143,MbHjnaq9SCk,2019-03-04,49.0,7.3993,1.0,946,1.16
144,8qZVvcJc_Wc,2014-11-19,48.0,0.5769,0.0,793,0.76
145,Gv62bexrPaY,2018-04-27,48.0,1.1281,1.0,1183,1.18
146,00bU4j8L_6Q,2014-12-10,47.0,2.154,0.0,1425,1.82
147,r-rQ0ND0GTk,2011-12-05,47.0,4.6086,0.0,1623,1.42
148,Ixy_Ib87nqI,2019-01-03,46.0,0.892,0.0,927,2.05
149,XeMYfUbjkS4,2020-05-15,46.0,4.5949,0.0,2471,0.77
150,n6t7JCUsdvk,2015-02-15,44.0,8.9617,0.0,1308,0.92
151,p1oBhDvcObQ,2020-05-10,44.0,3.0224,0.0,2811,0.82
152,yRvvdKLQz5w,2015-02-24,44.0,0.9453,0.0,900,0.33
153,lk_jExW1wjE,2017-10-03,43.0,4.046,0.0,0,
154,wnUVJIQeFvw,2017-11-20,43.0,8.2866,2.0,35,0.0
155,p_3GDBkw3H4,2017-11-28,42.0,5.7522,0.0,1224,0.82
156,shtDx8nuJsw,2015-04-20,41.0,1.2842,0.0,793,0.63
157,2j1yAilJbcg,2015-05-20,40.0,2.0422,0.0,1163,0.69
158,VX3EfOoYjeI,2017-02-23,40.0,1.2529,0.0,1041,1.15
159,J-Y7GGIugL0,2020-05-28,38.0,4.1395,0.0,2550,0.59
160,Iunad9WaGi4,2012-08-13,37.0,1.5702,0.0,1020,1.27
161,D8RzWk2AXWA,2013-11-07,36.0,1.1573,0.0,488,3.48
162,KSXBZGio1oQ,2019-12-28,35.0,1.5281,0.0,833,2.16
163,nTmd2sRRQsA,2019-03-01,35.0,0.2783,0.0,477,2.52
164,3widWzQesyI,2015-05-05,34.0,0.9232,0.0,1219,0.74
165,UWmOjaDJWbE,2020-06-02,34.0,1.9091,0.0,1971,0.76
166,T4kpN936RH0,2013-11-12,33.0,0.4802,0.0,1003,0.7
167,UbO_CSzaVaU,2019-03-28,33.0,1.3071,0.0,1413,1.06
168,fgW0hJnCXZ4,2019-10-24,33.0,1.7933,0.0,853,1.64
169,tjYjR65k1JM,2019-04-11,33.0,0.6491,0.0,711,1.69
170,wt8Ra8OKyFE,2019-11-11,33.0,0.3095,0.0,490,2.24
171,ytKPHAMhphE,2014-12-10,33.0,0.2032,0.0,773,0.39
172,EC2aDXK_Bfs,2019-10-17,32.0,0.2313,0.0,572,1.75
173,VDueXquDTl4,2011-12-09,32.0,0.4756,0.0,977,1.64
174,RfAlrZh7fs4,2011-12-05,31.0,2.1449,0.0,221,3.17
175,ZE08Ne1SNh4,2015-09-25,31.0,0.6737,0.0,2893,0.62
176,kNpJDTlwMoY,2014-11-26,30.0,0.2351,0.0,844,1.07
177,8MLyI9o0-VY,2018-10-16,29.0,1.1059999999999999,0.0,530,2.08
178,M1xkqIs8Kzs,2019-05-30,29.0,0.2754,0.0,505,1.58
179,UdOdthMV_zE,2012-02-03,29.0,1.9452,0.0,537,1.3
180,31OaBwb3C4M,2018-10-20,28.0,1.3004,0.0,729,1.65
181,63s02izCK84,2014-11-19,28.0,0.4533,0.0,717,0.28
182,COyYwFpklUU,2018-10-21,28.0,1.7097,0.0,1696,1.06
183,DHJ5SHroEWw,2012-05-02,28.0,0.37799999999999995,1.0,1023,0.98
184,MJlGGJHovuM,2019-03-03,28.0,1.9625,0.0,916,1.53
185,_-EKpxcI2mo,2017-12-15,28.0,0.9319,0.0,1321,0.61
186,r1K73owhNAc,2018-10-02,28.0,1.9539,1.0,274,4.01
187,txHjY_plG4I,2014-12-10,28.0,0.3659,0.0,737,0.27
188,vV45qkA54D8,2019-03-17,28.0,1.6388,0.0,571,2.45
189,1XtQ_n2FkdU,2020-05-14,27.0,0.9657,0.0,1829,0.66
190,4t__usTp5dc,2014-05-23,26.0,1.412,0.0,593,2.02
191,6oR8TN1pQWk,2016-04-03,26.0,0.3644,0.0,363,2.48
192,TbhLUBYwBSI,2019-10-25,26.0,1.271,1.0,894,1.23
193,a_ju9rri2R8,2011-12-09,26.0,6.8382,0.0,796,1.01
194,fVBDHebW0QA,2015-04-02,26.0,3.3263,0.0,1128,0.44
195,wNHcvCL_lbs,2019-03-01,26.0,3.1482,0.0,610,0.82
196,OPzQnnsKjUA,2013-11-18,25.0,0.609,0.0,3600,0.36
197,XTJcawXudlk,2011-12-09,25.0,1.2306,0.0,295,3.05
198,_gSUJGZ-gOc,2016-03-09,25.0,0.8927,0.0,245,1.63
199,2US5yXAX9Fs,2015-01-30,24.0,0.5865,0.0,423,0.95
200,GLbwpVblLb8,2019-12-05,24.0,0.3026,0.0,451,1.55
201,ON2ANInJDiQ,2017-12-04,24.0,0.5356,0.0,1170,0.26
202,s2jkrmUK6ow,2020-07-01,24.0,1.4831,0.0,1795,0.5
203,AZqeB4W8R0A,2019-05-02,23.0,0.3021,-1.0,525,0.95
204,uZxmkCM9P_o,2018-07-25,23.0,0.2673,0.0,520,1.54
205,1Pwlog7ZtLU,2017-11-20,21.0,2.5323,0.0,9,0.0
206,SNlYRbUzHro,2020-07-31,21.0,1.4202,0.0,373,1.07
207,Uw0SwlQZv4c,2017-04-03,21.0,1.28,0.0,703,1.56
208,wEx--Bz2HJQ,2019-03-27,21.0,1.3641,0.0,1464,0.89
209,zSICrLBYjkI,2015-01-30,21.0,0.7903,0.0,667,1.35
210,B87_R6701P0,2019-05-15,20.0,0.15,0.0,680,1.62
211,LnwxDPqCILw,2013-01-18,20.0,0.1445,0.0,656,1.52
212,Sk3xTxaQXDI,2018-10-01,20.0,0.2399,0.0,123,4.88
213,hJPcVWaTR48,2020-08-05,20.0,0.4132,0.0,406,1.23
