Date,Post ID,Type,Lifetime Post Total Impressions,Lifetime Post Total Reach,Lifetime Total Video Views,Lifetime Unique Video Views,Posted,Lifetime Total 30-Second Views,year,month,source,yearStr
11/15/2017,163815626997995_1541879275858283,Video,921,592,160,133,11/15/2017 16:10,34,2017,11,Facebook,2017
11/13/2017,163815626997995_1539933329386211,Video,533,337,160,126,11/13/2017 16:09,46,2017,11,Facebook,2017
8/10/2017,163815626997995_1458604034185808,Video,1649,1031,320,300,8/10/2017 13:47,44,2017,8,Facebook,2017
11/14/2017,163815626997995_1540668285979382,SharedVideo,133,89,18,17,11/14/2017 9:10,0,2017,11,Facebook,2017
7/17/2018,163815626997995_1797638153615726,SharedVideo,221,204,204,184,7/17/2018 6:06,0,2018,7,Facebook,2018
6/20/2018,163815626997995_1756535197726022,SharedVideo,81,71,45,43,6/20/2018 4:39,0,2018,6,Facebook,2018
7/10/2018,163815626997995_1787886164590925,SharedVideo,125,123,112,109,7/10/2018 14:58,0,2018,7,Facebook,2018
7/3/2018,163815626997995_1777742465605295,SharedVideo,159,144,140,127,7/3/2018 15:47,0,2018,7,Facebook,2018
7/3/2018,163815626997995_1777777982268410,SharedVideo,54,52,20,19,7/3/2018 16:27,0,2018,7,Facebook,2018
7/26/2018,163815626997995_1812205085492366,SharedVideo,76,68,39,38,7/26/2018 11:41,0,2018,7,Facebook,2018
7/10/2018,163815626997995_1788164641229744,SharedVideo,97,97,51,48,7/10/2018 19:55,0,2018,7,Facebook,2018
8/9/2018,163815626997995_1835667226479485,SharedVideo,740,534,108,105,8/9/2018 19:48,0,2018,8,Facebook,2018
7/11/2018,163815626997995_1789683267744548,SharedVideo,116,109,126,110,7/11/2018 21:24,0,2018,7,Facebook,2018
9/6/2018,163815626997995_1875152475864293,SharedVideo,70,65,41,40,9/6/2018 11:30,0,2018,9,Facebook,2018
6/17/2018,163815626997995_1752536994792509,SharedVideo,147,139,171,158,6/17/2018 8:01,0,2018,6,Facebook,2018
10/29/2018,163815626997995_1940088759370664,SharedVideo,137,129,87,86,10/29/2018 14:22,0,2018,10,Facebook,2018
8/22/2018,163815626997995_1856989854347222,SharedVideo,348,228,27,27,8/22/2018 12:00,0,2018,8,Facebook,2018
11/1/2018,163815626997995_1946228858756654,SharedVideo,15,14,12,12,11/1/2018 5:54,0,2018,11,Facebook,2018
9/13/2018,163815626997995_1883371795042361,SharedVideo,147,136,99,91,9/13/2018 20:55,0,2018,9,Facebook,2018
6/17/2018,163815626997995_1752556804790528,SharedVideo,104,98,76,76,6/17/2018 8:19,0,2018,6,Facebook,2018
7/6/2018,163815626997995_1781431495236392,SharedVideo,127,115,54,51,7/6/2018 5:38,0,2018,7,Facebook,2018
6/17/2018,163815626997995_1752790318100510,SharedVideo,66,63,58,54,6/17/2018 12:02,0,2018,6,Facebook,2018
6/21/2018,163815626997995_1758790287500513,SharedVideo,152,143,139,135,6/21/2018 16:04,0,2018,6,Facebook,2018
11/23/2018,163815626997995_1975319085847631,SharedVideo,359,295,109,109,11/23/2018 13:25,0,2018,11,Facebook,2018
6/27/2018,163815626997995_1767395223306686,SharedVideo,85,77,47,47,6/27/2018 5:06,0,2018,6,Facebook,2018
6/27/2018,163815626997995_1767913076588234,SharedVideo,129,116,108,99,6/27/2018 12:42,0,2018,6,Facebook,2018
8/8/2018,163815626997995_1833596506686557,SharedVideo,452,313,44,40,8/8/2018 14:55,0,2018,8,Facebook,2018
8/7/2018,163815626997995_1831959830183558,SharedVideo,268,174,3,3,8/7/2018 16:33,0,2018,8,Facebook,2018
6/20/2018,163815626997995_1756461007733441,SharedVideo,98,91,85,81,6/20/2018 3:26,0,2018,6,Facebook,2018
6/20/2018,163815626997995_1756492927730249,SharedVideo,95,90,73,72,6/20/2018 3:58,0,2018,6,Facebook,2018
6/18/2018,163815626997995_1754028874643321,SharedVideo,82,78,36,33,6/18/2018 9:34,0,2018,6,Facebook,2018
7/3/2018,163815626997995_1777746312271577,SharedVideo,102,92,88,82,7/3/2018 15:51,0,2018,7,Facebook,2018
6/19/2018,163815626997995_1754990091213866,SharedVideo,108,103,94,90,6/19/2018 3:57,0,2018,6,Facebook,2018
11/5/2018,163815626997995_1951913941521479,SharedVideo,46,46,20,20,11/5/2018 8:43,0,2018,11,Facebook,2018
10/29/2018,163815626997995_1939941092718764,SharedVideo,105,96,38,35,10/29/2018 11:16,0,2018,10,Facebook,2018
11/23/2018,163815626997995_1971377322908474,Video,245,212,50,47,11/23/2018 7:00,7,2018,11,Facebook,2018
10/9/2018,163815626997995_1914590188843520,Video,327,235,93,81,10/9/2018 12:54,23,2018,10,Facebook,2018
6/19/2018,163815626997995_1755349721177903,Video,1613,1284,313,259,6/19/2018 10:00,49,2018,6,Facebook,2018
7/23/2018,163815626997995_1807367385976136,Video,207,173,51,48,7/23/2018 11:05,28,2018,7,Facebook,2018
9/27/2018,163815626997995_1828907870520933,Video,775,535,169,148,9/27/2018 16:00,18,2018,9,Facebook,2018
